date,startup,vertical,subvertical,city,investor,round,Amount_in_Cr
8/21/2019,HungerBox,Food and Beverage,B2B Foodtech,Bengaluru,One97 Communications Ltd.,Series C,55.356
8/23/2019,AdmitKard,EdTech,University Admissions,Noida,Growth DNA,Seed Round,8.4
8/19/2019,Grofers,E-Commerce,Grocery Delivery,Gurgaon,Softbank Vision Fund,Series F,588
8/27/2019,Rapido Bike Taxi,Transportation,Bike Taxi,Bengaluru,Westbridge Capital,Series B,32760
7/2/2019,RenewBuy,Finance,Auto Insurance,Gurgaon,"Lok Capital, IIFL Wealth",Series B,159.6
7/2/2019,Atlan,Information Technology,Big Data,Singapore,WaterBridge Ventures,Pre-Series A,21
7/1/2019,WizCounsel,Compliance,Consulting,New Delhi,Kapil Dev,Angel,1.218
7/3/2019,Ola Cabs,Transport,Cabs,Kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,8.4
7/1/2019,Uniphore,Artificial Intelligence,Speech Recognition,Taramani,March Capital Partners,Series C,319.872
7/4/2019,Daalchini Technologies,Food and Beverage,Digital Vending Machine,New Delhi,Artha Venture,Seed Round,4.2
7/10/2019,"""BYJU\\'S""",EdTech,Education,Bengaluru,Qatar Investment Authority,Private Equity Round,1260
7/11/2019,Moglix,E-Commerce,Industrial Tools and Equipments,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,504
7/10/2019,Ezyhaul,Tech,Logistics,Singapore,Undisclosed,Series B,134.4
7/10/2019,Indus OS,Tech,Smartphone Operating System,Andheri,Ventureast,Series B,48.3
7/10/2019,HealthAssure,Health Care,Primary care medical network,Mumbai,Blume Ventures,Series A,21
7/9/2019,House of Msasaba,Luxury Label,Clothes and Apparel,Mumbai,Binny Bansal,Series A,8.4
7/8/2019,Board Infinity,EdTech,Full-stack career platform,Chembur,Multiple Angel Investors,Angel Round,2.684682
6/5/2019,NoBroker,E-Commerce,Real Estate,Bengaluru,General Atlantic,Series C,428.4
6/4/2019,Bira91,Food and Beverage,Brewery,New Delhi,Anicut Capital,Debt Funding,84
6/3/2019,FabHotels,E-Commerce,Hospitality,Gurgaon,"Goldman Sachs, Accel Partners and Qualcomm",Private Equity,41.075794536
6/3/2019,Avail Finance,Finance,FinTech,Bengaluru,Matrix Partners,Series A,75.6
6/4/2019,BharatPe,Finance,FinTech,New Delhi,Insight Partners,Series B,630
6/4/2019,Recykal,Waste Management Service,Optimization,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",pre-Series A,218.4
6/3/2019,Agara Labs,Deep-Tech,Artificial Intelligence,Bengaluru,Blume Ventures and RTP Global,pre-Series A,21
